timestamp,occupancy_actual,occupancy_predicted,outdoor_temperature_C,scheduled_room_temperature_C,predictive_room_temperature_C,scheduled_hvac_enable,predictive_hvac_enable,scheduled_hvac_power_kW,predictive_hvac_power_kW,predictive_future_temp_no_hvac_C,predictive_future_temp_with_command_C,predictive_cooling_command_kW_thermal,scheduled_energy_interval_kWh,predictive_energy_interval_kWh,scheduled_energy_cumulative_kWh,predictive_energy_cumulative_kWh,scheduled_comfort_ok,predictive_comfort_ok
2024-10-09 07:25:00,1.0,0.9964602414922707,25.0,25.74081926553988,25.73870620042817,0,0,0.0,0.0,25.740001680441477,25.740001680441477,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 07:30:00,1.0,0.9964602414922707,25.0,25.741094687573682,25.739045014415325,0,0,0.0,0.0,25.740001680441477,25.740001680441477,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 07:35:00,1.0,0.9964602414922707,25.0,25.74136184694647,25.739373663982864,0,0,0.0,0.0,25.740001680441477,25.740001680441477,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 07:40:00,1.0,0.9964602414922707,25.0,25.741620991538078,25.739692454063377,0,0,0.0,0.0,25.740001680441477,25.740001680441477,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 07:45:00,1.0,0.9964602414922707,25.0,25.741872361791934,25.740001680441477,0,0,0.0,0.0,25.741671679711413,25.741671679711413,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 07:50:00,1.0,0.9964602414922707,25.0,25.742116190938177,25.74030163002823,0,0,0.0,0.0,25.741671679711413,25.741671679711413,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 07:55:00,1.0,0.9964602414922707,25.0,25.74235270521003,25.740592581127384,0,0,0.0,0.0,25.741671679711413,25.741671679711413,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:00:00,1.0,1.0026372845144478,25.0,25.74258212405373,25.74087480369356,1,0,0.0,0.0,25.741671679711413,25.741671679711413,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:05:00,1.0,1.0026372845144478,25.0,25.74280466033212,25.741148559582754,1,0,0.0,0.0,25.741671679711413,25.741671679711413,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:10:00,1.0,1.0026372845144478,25.0,25.743020520522155,25.74141410279527,1,0,0.0,0.0,25.741671679711413,25.741671679711413,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:15:00,1.0,1.0026372845144478,25.0,25.74322990490649,25.741671679711413,1,0,0.0,0.0,25.743062742351526,25.743062742351526,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:20:00,1.0,1.0026372845144478,25.0,25.743433007759293,25.74192152932007,1,0,0.0,0.0,25.743062742351526,25.743062742351526,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:25:00,1.0,1.0026372845144478,25.0,25.743630017526513,25.74216388344047,1,0,0.0,0.0,25.743062742351526,25.743062742351526,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:30:00,1.0,1.0026372845144478,25.0,25.743821117000717,25.742398966937255,1,0,0.0,0.0,25.743062742351526,25.743062742351526,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:35:00,1.0,1.0026372845144478,25.0,25.744006483490697,25.742626997929136,1,0,0.0,0.0,25.743062742351526,25.743062742351526,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:40:00,1.0,1.0026372845144478,25.0,25.744186288985976,25.742848187991264,1,0,0.0,0.0,25.743062742351526,25.743062742351526,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 08:45:00,1.0,1.0026372845144478,25.0,25.744360700316395,25.743062742351526,1,0,0.0,0.0,25.74422145858784,25.74422145858784,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
